Date,Price,Open,High,Low ,Vol.,Change %
"Sep 02, 2015","10,013.36","9,963.14" ,"10,013.36","9,884.15" ,"-"   ,"1.40%"
"Sep 01, 2015","9,874.67" ,"10,176.50","10,176.50","9,821.37" ,"-"   ,"-2.97%"
"Aug 31, 2015","10,176.50","10,198.32","10,226.17","10,120.48","-"   ,"-0.64%"
"Aug 28, 2015","10,242.06","10,199.17","10,256.84","10,180.25","-"   ,"0.11%"
"Aug 27, 2015","10,230.51","10,044.36","10,248.38","10,044.36","-"   ,"2.51%"
"Aug 26, 2015","9,979.67" ,"9,692.40" ,"9,986.48" ,"9,692.40" ,"-"   ,"2.96%"
"Aug 25, 2015","9,692.39" ,"9,790.10" ,"10,063.14","9,689.65" ,"-"   ,"-1.00%"
"Aug 24, 2015","9,789.94" ,"9,864.30" ,"10,068.92","9,509.59" ,"-"   ,"-3.98%"
"Aug 21, 2015","10,195.69","10,402.30","10,426.04","10,195.69","-"   ,"-2.67%"
"Aug 20, 2015","10,475.75","10,618.35","10,622.45","10,475.74","-"   ,"-1.98%"
"Aug 19, 2015","10,687.03","10,742.32","10,761.02","10,638.19","-"   ,"-0.98%"
"Aug 18, 2015","10,792.80","10,799.54","10,819.69","10,780.01","-"   ,"-0.24%"
"Aug 17, 2015","10,818.57","10,743.57","10,819.22","10,708.34","-"   ,"0.34%"
"Aug 14, 2015","10,782.24","10,736.35","10,784.33","10,730.51","-"   ,"0.34%"
"Aug 13, 2015","10,745.31","10,779.44","10,780.06","10,722.88","-"   ,"-0.32%"
"Aug 12, 2015","10,779.46","10,725.88","10,789.66","10,628.94","-"   ,"-0.21%"
"Aug 11, 2015","10,802.09","10,857.09","10,857.09","10,757.18","-"   ,"-0.95%"
"Aug 10, 2015","10,906.03","10,804.81","10,906.08","10,804.81","-"   ,"1.33%"
"Aug 07, 2015","10,763.15","10,779.50","10,785.35","10,728.48","-"   ,"-0.34%"
"Aug 06, 2015","10,799.44","10,851.34","10,856.39","10,756.85","-"   ,"-0.45%"
"Aug 05, 2015","10,847.85","10,874.20","10,916.22","10,833.58","-"   ,"0.21%"
"Aug 04, 2015","10,824.70","10,849.14","10,869.59","10,802.22","-"   ,"-0.15%"
"Aug 03, 2015","10,841.26","10,883.46","10,883.46","10,795.02","-"   ,"-0.38%"
"Jul 31, 2015","10,882.28","10,908.31","10,933.39","10,872.33","-"   ,"0.00%"
"Jul 30, 2015","10,881.75","10,866.31","10,887.90","10,824.73","-"   ,"-0.02%"
"Jul 29, 2015","10,883.91","10,795.18","10,895.22","10,794.00","-"   ,"0.87%"
"Jul 28, 2015","10,790.18","10,698.90","10,800.22","10,668.66","-"   ,"1.25%"
"Jul 27, 2015","10,656.61","10,688.86","10,698.53","10,636.27","-"   ,"-0.61%"
"Jul 24, 2015","10,721.95","10,830.78","10,831.19","10,706.14","-"   ,"-1.10%"
"Jul 23, 2015","10,840.73","10,918.09","10,919.17","10,825.69","-"   ,"-0.54%"
"Jul 22, 2015","10,899.86","10,897.14","10,917.16","10,881.05","-"   ,"-0.18%"
"Jul 21, 2015","10,919.00","10,960.41","10,974.82","10,902.11","-"   ,"-0.46%"
"Jul 20, 2015","10,969.49","10,991.28","10,991.28","10,954.58","-"   ,"-0.16%"
"Jul 17, 2015","10,987.17","11,010.84","11,010.84","10,965.67","-"   ,"-0.34%"
"Jul 16, 2015","11,024.87","11,013.33","11,032.61","11,011.54","-"   ,"0.60%"
"Jul 15, 2015","10,958.83","10,989.37","10,996.44","10,934.67","-"   ,"-0.31%"
"Jul 14, 2015","10,993.26","10,944.00","11,003.01","10,938.73","-"   ,"0.44%"
"Jul 13, 2015","10,944.85","10,853.92","10,950.18","10,853.92","-"   ,"0.84%"
"Jul 10, 2015","10,853.92","10,689.51","10,871.46","10,689.51","-"   ,"1.54%"
"Jul 09, 2015","10,689.51","10,741.76","10,801.93","10,688.33","-"   ,"0.50%"
"Jul 08, 2015","10,636.80","10,755.56","10,755.56","10,622.32","-"   ,"-1.78%"
"Jul 07, 2015","10,829.32","10,764.97","10,841.49","10,631.52","-"   ,"0.43%"
"Jul 06, 2015","10,782.68","10,770.04","10,836.93","10,732.41","-"   ,"-0.76%"
"Jul 02, 2015","10,864.82","10,885.53","10,903.37","10,838.92","-"   ,"0.05%"
"Jul 01, 2015","10,858.99","10,844.46","10,890.36","10,821.37","-"   ,"0.50%"
"Jun 30, 2015","10,805.20","10,859.11","10,873.66","10,768.62","-"   ,"0.14%"
"Jun 29, 2015","10,790.33","10,940.98","10,953.07","10,787.28","-"   ,"-2.26%"
