Date,Price,Open,High,Low,Vol.,Change %
"Jul 05, 2019","13,210.91","13,231.80","13,231.80","13,114.84",-,-0.22%
"Jul 03, 2019","13,239.87","13,152.55","13,239.90","13,152.55",-,0.66%
"Jul 02, 2019","13,152.55","13,127.69","13,152.95","13,105.03",-,0.19%
"Jul 01, 2019","13,127.69","13,049.71","13,191.90","13,049.71",-,0.60%
"Jun 28, 2019","13,049.71","12,965.55","13,055.86","12,965.55",-,0.65%
"Jun 27, 2019","12,965.32","12,912.06","12,976.23","12,912.06",-,0.41%
"Jun 26, 2019","12,912.01","12,936.65","12,977.92","12,911.99",-,-0.19%
"Jun 25, 2019","12,936.65","13,019.98","13,022.73","12,934.90",-,-0.64%
"Jun 24, 2019","13,019.98","13,047.24","13,061.25","13,015.91",-,-0.21%
"Jun 21, 2019","13,047.24","13,068.36","13,095.57","13,037.88",-,-0.26%
"Jun 20, 2019","13,081.54","12,954.08","13,094.80","12,954.08",-,0.98%
"Jun 19, 2019","12,954.08","12,924.27","12,972.48","12,908.41",-,0.36%
"Jun 18, 2019","12,907.46","12,837.47","12,950.80","12,837.47",-,1.03%
"Jun 17, 2019","12,775.52","12,789.68","12,808.12","12,769.53",-,-0.09%
"Jun 14, 2019","12,787.24","12,808.89","12,813.00","12,767.85",-,-0.31%
"Jun 13, 2019","12,827.51","12,816.43","12,841.72","12,788.54",-,0.33%
"Jun 12, 2019","12,784.83","12,797.86","12,818.60","12,772.33",-,-0.23%
"Jun 11, 2019","12,813.91","12,867.17","12,900.77","12,787.49",-,0.09%
"Jun 10, 2019","12,802.03","12,821.49","12,859.63","12,798.29",-,0.28%
"Jun 07, 2019","12,765.86","12,725.38","12,814.81","12,725.38",-,0.71%
"Jun 06, 2019","12,675.66","12,631.09","12,710.67","12,606.12",-,0.48%
"Jun 05, 2019","12,614.70","12,607.35","12,618.22","12,530.15",-,0.43%
"Jun 04, 2019","12,560.58","12,341.82","12,564.37","12,341.82",-,1.77%
"Jun 03, 2019","12,341.82","12,288.51","12,372.82","12,273.09",-,0.63%
"May 31, 2019","12,264.49","12,280.78","12,318.46","12,238.40",-,-1.04%
"May 30, 2019","12,393.66","12,402.54","12,449.28","12,354.79",-,0.06%
"May 29, 2019","12,386.21","12,398.24","12,405.11","12,309.13",-,-0.64%
"May 28, 2019","12,465.90","12,597.71","12,628.63","12,464.53",-,-0.92%
"May 24, 2019","12,581.36","12,595.54","12,617.46","12,539.30",-,0.45%
"May 23, 2019","12,525.00","12,569.34","12,569.34","12,461.35",-,-1.16%
"May 22, 2019","12,671.99","12,682.52","12,703.80","12,651.95",-,-0.38%
"May 21, 2019","12,720.72","12,668.33","12,732.86","12,668.33",-,0.82%
"May 20, 2019","12,616.80","12,615.67","12,668.53","12,582.51",-,-0.32%
"May 17, 2019","12,657.63","12,652.39","12,751.09","12,643.07",-,-0.63%
"May 16, 2019","12,738.36","12,676.05","12,800.90","12,676.05",-,0.68%
"May 15, 2019","12,652.29","12,559.66","12,682.38","12,526.04",-,0.26%
"May 14, 2019","12,620.00","12,560.99","12,686.53","12,559.62",-,0.74%
"May 13, 2019","12,526.71","12,617.22","12,617.22","12,480.27",-,-2.04%
"May 10, 2019","12,788.14","12,702.07","12,820.20","12,569.84",-,0.45%
"May 09, 2019","12,731.35","12,673.62","12,750.44","12,591.79",-,-0.28%
"May 08, 2019","12,766.69","12,766.97","12,834.77","12,748.37",-,-0.09%
"May 07, 2019","12,778.50","12,883.06","12,883.06","12,703.19",-,-1.53%
"May 06, 2019","12,976.67","13,037.88","13,037.88","12,851.07",-,-0.47%
"May 03, 2019","13,037.88","12,977.32","13,044.43","12,977.32",-,0.84%
"May 02, 2019","12,929.56","12,939.04","12,970.65","12,860.61",-,-0.13%
